RBR XR-420  5.40 012056 (Windows: 6.13 - Minimum required: 5.11)
Host time     19/06/30 20:59:53
Logger time   19/06/30 21:01:21
Logging start 18/08/01 11:00:00
Logging end   26/08/01 11:00:00
Sample period          08:00:00
Number of channels =  8, number of samples =   1001, mode: Logging Stopped by User
N08%9.4f
Calibration  1: 0.004322570446620
                -0.000277846908580
                0.000003633623360
                -0.000000127546420 Degrees_C
Calibration  2: 0.004322598091600
                -0.000277865390420
                0.000003645638560
                -0.000000130380310 Degrees_C
Calibration  3: 0.004322471848990
                -0.000277855826490
                0.000003641321990
                -0.000000129694670 Degrees_C
Calibration  4: 0.004322316206420
                -0.000277838732040
                0.000003632299620
                -0.000000127458190 Degrees_C
Calibration  5: 0.004322571772840
                -0.000277842355080
                0.000003631396360
                -0.000000127435360 Degrees_C
Calibration  6: 0.004322421956680
                -0.000277833086750
                0.000003630256850
                -0.000000127322460 Degrees_C
Calibration  7: 0.004322371885380
                -0.000278014712690
                0.000003747031430
                -0.000000160865910 Degrees_C
Calibration  8: 0.004322837882030
                -0.000277851685740
                0.000003633921760
                -0.000000127878440 Degrees_C
COMMENT: NC-01
Memory type: 3 AT45DB642
Logger start:Start of logging 

     Temp      Temp      Temp      Temp      Temp      Temp      Temp      Temp 
  11.0916   11.2003    3.4539    0.3980   -1.6602   -3.1957   -3.8490   -3.9985 
  -2.7158   -1.4931    2.0504    0.3513   -1.6562   -3.1931   -3.8477   -4.0001 
   9.1178    6.9813    1.7201    0.3138   -1.6518   -3.1888   -3.8461   -3.9998 
  14.2624   14.5204    4.0563    0.2876   -1.6465   -3.1852   -3.8439   -3.9985 
  -0.3985    0.4916    2.4750    0.2583   -1.6419   -3.1810   -3.8420   -3.9987 
   9.2637    6.9475    1.7868    0.2448   -1.6384   -3.1779   -3.8407   -3.9988 
  16.0755   16.0578    4.5922    0.2416   -1.6331   -3.1734   -3.8387   -3.9985 
   5.5180    5.4174    3.4543    0.2325   -1.6284   -3.1696   -3.8372   -3.9994 
   5.9931    5.6981    3.3467    0.2408   -1.6260   -3.1661   -3.8351   -3.9986 
   7.1508    7.0296    3.5587    0.2613   -1.6217   -3.1627   -3.8330   -3.9990 
   0.8734    0.7987    2.5447    0.2787   -1.6174   -3.1581   -3.8318   -3.9987 
   5.5346    5.0710    2.6011    0.2955   -1.6135   -3.1551   -3.8303   -3.9982 
  11.2559   10.9161    3.9152    0.3045   -1.6097   -3.1509   -3.8274   -3.9987 
   6.4692    6.3237    3.5743    0.3065   -1.6061   -3.1468   -3.8262   -3.9975 
   7.4185    7.0926    3.7488    0.3173   -1.6009   -3.1433   -3.8248   -3.9984 
   6.8154    6.7859    4.0320    0.3360   -1.5973   -3.1398   -3.8230   -3.9979 
   1.9299    1.8117    2.8197    0.3555   -1.5934   -3.1355   -3.8219   -3.9982 
   3.6945    3.4398    2.5605    0.3761   -1.5901   -3.1319   -3.8194   -3.9986 
  14.5308   13.7742    3.9587    0.3867   -1.5865   -3.1281   -3.8171   -3.9982 
  -1.0127   -0.7801    2.1244    0.3816   -1.5830   -3.1249   -3.8157   -3.9976 
   7.4550    6.4553    2.5847    0.3774   -1.5781   -3.1210   -3.8136   -3.9977 
   8.4791    8.3725    4.0039    0.3696   -1.5746   -3.1176   -3.8116   -3.9970 
   0.1010    0.0234    2.0557    0.3535   -1.5724   -3.1128   -3.8101   -3.9977 
   1.8121    0.4134    1.5580    0.3450   -1.5682   -3.1095   -3.8081   -3.9969 
   6.9320    6.7244    2.4003    0.3350   -1.5649   -3.1060   -3.8070   -3.9973 
   3.2803    2.8983    2.1347    0.3132   -1.5617   -3.1031   -3.8051   -3.9972 
   5.7846    5.4396    2.5769    0.2920   -1.5578   -3.0979   -3.8034   -3.9967 
   2.5278    2.2480    2.1603    0.2759   -1.5545   -3.0955   -3.8015   -3.9960 
  -1.1668   -0.8656    1.3078    0.2615   -1.5517   -3.0918   -3.7997   -3.9968 
   0.4756    0.0452    0.9773    0.2461   -1.5481   -3.0882   -3.7975   -3.9965 
   1.5889    1.5007    1.1200    0.2233   -1.5453   -3.0838   -3.7956   -3.9968 
  -2.4020   -2.1907    0.6571    0.1900   -1.5419   -3.0803   -3.7937   -3.9968 
   3.4658    2.8571    0.7689    0.1547   -1.5401   -3.0770   -3.7924   -3.9959 
   8.6397    8.3833    2.3410    0.1236   -1.5364   -3.0735   -3.7901   -3.9956 
   1.2017    1.3129    1.8989    0.0931   -1.5317   -3.0698   -3.7885   -3.9954 
   4.0820    2.6182    1.1378    0.0783   -1.5290   -3.0672   -3.7870   -3.9960 
  10.0058    9.1803    2.2091    0.0755   -1.5257   -3.0634   -3.7852   -3.9955 
  -5.5162   -4.9419    0.3711    0.0684   -1.5244   -3.0591   -3.7824   -3.9956 
   4.4345    3.7258    0.8174    0.0636   -1.5206   -3.0564   -3.7819   -3.9953 
  12.8809   12.4166    2.7101    0.0555   -1.5161   -3.0517   -3.7794   -3.9957 
   6.4381    6.1603    2.4629    0.0409   -1.5141   -3.0496   -3.7787   -3.9949 
   8.4497    7.9196    2.7152    0.0388   -1.5105   -3.0462   -3.7757   -3.9947 
   5.8709    6.0733    3.2232    0.0536   -1.5078   -3.0425   -3.7741   -3.9944 
  -2.5731   -1.9337    1.3236    0.0757   -1.5052   -3.0392   -3.7729   -3.9941 
   0.8072   -0.5114    0.6749    0.1028   -1.5020   -3.0355   -3.7707   -3.9941 
   6.9363    7.0098    1.8068    0.1169   -1.5001   -3.0322   -3.7685   -3.9937 
  -8.8720   -7.6923   -0.0902    0.1069   -1.4971   -3.0285   -3.7675   -3.9939 
   5.4993    2.5331    0.3820    0.0916   -1.4940   -3.0244   -3.7648   -3.9937 
  10.4739   10.1975    1.5123    0.0705   -1.4915   -3.0221   -3.7629   -3.9933 
   0.7711    0.8705    0.8748    0.0379   -1.4885   -3.0186   -3.7616   -3.9927 
   4.7109    4.0012    0.7596    0.0074   -1.4859   -3.0154   -3.7600   -3.9936 
   7.5380    7.3497    2.2935   -0.0151   -1.4823   -3.0123   -3.7573   -3.9920 
   1.4943    1.4487    1.5591   -0.0274   -1.4809   -3.0077   -3.7558   -3.9923 
   1.2091    0.8571    1.1750   -0.0224   -1.4775   -3.0048   -3.7546   -3.9928 
   2.9407    3.2302    1.3955   -0.0117   -1.4761   -3.0016   -3.7525   -3.9925 
  -1.9005   -1.8431    0.3892   -0.0078   -1.4725   -2.9977   -3.7505   -3.9924 
  -0.3324   -0.6956    0.2404   -0.0108   -1.4703   -2.9945   -3.7488   -3.9915 
   7.8695    7.2822    1.1192   -0.0214   -1.4675   -2.9914   -3.7468   -3.9912 
 -10.5039   -8.7887   -0.6972   -0.0405   -1.4650   -2.9886   -3.7450   -3.9912 
   4.5513   -0.3944   -0.4349   -0.0595   -1.4638   -2.9851   -3.7439   -3.9912 
   9.1107    9.0325    0.8942   -0.0758   -1.4604   -2.9818   -3.7420   -3.9910 
  -4.1302   -3.9001   -0.3041   -0.1012   -1.4571   -2.9786   -3.7396   -3.9907 
   3.2083   -1.6890   -0.5899   -0.1270   -1.4560   -2.9753   -3.7372   -3.9897 
   3.1517    2.4400    0.2470   -0.1475   -1.4526   -2.9718   -3.7363   -3.9899 
  -3.0201   -2.9781   -0.4002   -0.1705   -1.4508   -2.9683   -3.7343   -3.9899 
  -1.3851   -1.9048   -0.3807   -0.1905   -1.4483   -2.9653   -3.7324   -3.9897 
   8.1216    7.3606    0.5162   -0.2071   -1.4467   -2.9623   -3.7303   -3.9890 
 -10.9360   -9.4570   -1.2543   -0.2248   -1.4434   -2.9582   -3.7287   -3.9897 
   4.3181   -0.8247   -0.7871   -0.2398   -1.4417   -2.9561   -3.7261   -3.9889 
   9.9528    9.2571    0.6593   -0.2464   -1.4389   -2.9525   -3.7256   -3.9884 
 -10.2872   -8.8224   -1.1629   -0.2592   -1.4370   -2.9494   -3.7235   -3.9889 
   4.3446   -0.1669   -0.7188   -0.2691   -1.4345   -2.9465   -3.7208   -3.9877 
  12.8275   11.4409    0.7755   -0.2726   -1.4318   -2.9439   -3.7199   -3.9877 
  -7.0096   -6.2745   -0.8119   -0.2807   -1.4299   -2.9395   -3.7178   -3.9881 
  -2.2071   -2.1708   -0.4288   -0.2854   -1.4278   -2.9375   -3.7157   -3.9869 
   5.1435    4.0184    0.1071   -0.2902   -1.4254   -2.9335   -3.7145   -3.9861 
 -12.5607  -10.9343   -1.6234   -0.2956   -1.4235   -2.9307   -3.7124   -3.9873 
  -4.0654   -4.4614   -0.9923   -0.3004   -1.4222   -2.9274   -3.7106   -3.9863 
   4.7901    3.9633    0.0979   -0.2995   -1.4190   -2.9247   -3.7088   -3.9858 
  -6.4392   -6.6329   -1.3659   -0.3052   -1.4177   -2.9213   -3.7077   -3.9852 
  -5.2215   -5.2682   -0.9790   -0.3051   -1.4159   -2.9186   -3.7054   -3.9853 
   1.7919    1.3012   -0.0767   -0.3063   -1.4128   -2.9157   -3.7036   -3.9849 
 -14.7034  -13.1572   -2.2755   -0.3106   -1.4104   -2.9117   -3.7009   -3.9855 
   1.9680   -2.8972   -1.4240   -0.3122   -1.4098   -2.9092   -3.7002   -3.9845 
   8.0197    7.3533    0.4508   -0.3097   -1.4062   -2.9066   -3.6980   -3.9832 
  -8.1898   -7.0410   -1.1095   -0.3120   -1.4039   -2.9036   -3.6965   -3.9834 
   5.8859    0.5916   -0.7807   -0.3140   -1.4027   -2.9009   -3.6949   -3.9824 
  13.3503   12.5468    0.9961   -0.3105   -1.4001   -2.8979   -3.6928   -3.9826 
  -0.3177   -0.1423   -0.1667   -0.3119   -1.3988   -2.8940   -3.6908   -3.9828 
   2.2227    1.0687   -0.2266   -0.3135   -1.3976   -2.8917   -3.6889   -3.9816 
   6.3332    6.3915    0.5769   -0.3115   -1.3949   -2.8883   -3.6881   -3.9812 
  -0.3478   -0.4129   -0.1653   -0.3124   -1.3929   -2.8859   -3.6863   -3.9816 
  -1.1356   -1.2808   -0.2799   -0.3138   -1.3913   -2.8823   -3.6838   -3.9811 
   1.8857    1.8676    0.0289   -0.3137   -1.3895   -2.8791   -3.6817   -3.9806 
  -1.1590   -1.1595   -0.2513   -0.3142   -1.3881   -2.8765   -3.6796   -3.9803 
  -1.8129   -1.9276   -0.3714   -0.3152   -1.3857   -2.8733   -3.6775   -3.9810 
  -0.0470    0.0455   -0.1660   -0.3140   -1.3847   -2.8707   -3.6761   -3.9791 
  -2.6450   -2.6931   -0.5023   -0.3152   -1.3824   -2.8681   -3.6751   -3.9785 
  -2.0203   -2.4233   -0.5308   -0.3164   -1.3813   -2.8657   -3.6722   -3.9792 
   0.4379    0.0859   -0.2097   -0.3157   -1.3785   -2.8619   -3.6721   -3.9789 
 -10.1527   -8.0539   -1.1058   -0.3168   -1.3770   -2.8596   -3.6694   -3.9790 
  -4.0348   -8.7680   -2.0069   -0.3197   -1.3761   -2.8565   -3.6674   -3.9781 
   0.3596    0.2722   -0.2434   -0.3170   -1.3738   -2.8550   -3.6663   -3.9775 
 -13.3107  -10.9889   -1.8845   -0.3199   -1.3722   -2.8505   -3.6642   -3.9776 
  -0.8515   -2.8416   -1.2847   -0.3201   -1.3699   -2.8479   -3.6624   -3.9778 
   4.1933    2.4387   -0.1505   -0.3168   -1.3679   -2.8442   -3.6600   -3.9764 
  -1.7851   -1.7729   -0.4068   -0.3169   -1.3666   -2.8426   -3.6584   -3.9764 
  -1.5824   -1.9227   -0.4946   -0.3179   -1.3651   -2.8401   -3.6577   -3.9766 
  -0.4838   -0.3567   -0.2582   -0.3179   -1.3633   -2.8366   -3.6552   -3.9758 
  -3.1530   -3.0950   -0.6331   -0.3191   -1.3618   -2.8343   -3.6533   -3.9754 
  -4.1405   -4.1729   -0.9014   -0.3199   -1.3597   -2.8316   -3.6523   -3.9746 
   0.6111    0.6148   -0.1634   -0.3172   -1.3582   -2.8286   -3.6502   -3.9743 
  -7.8853   -6.4856   -1.1377   -0.3205   -1.3577   -2.8261   -3.6482   -3.9739 
  -4.9993   -5.4137   -1.3105   -0.3212   -1.3552   -2.8227   -3.6464   -3.9736 
   0.8755    0.8313   -0.1624   -0.3194   -1.3536   -2.8204   -3.6446   -3.9725 
  -4.7863   -4.6355   -0.9504   -0.3202   -1.3525   -2.8181   -3.6428   -3.9723 
  -3.4629   -5.8620   -1.2107   -0.3212   -1.3505   -2.8146   -3.6411   -3.9726 
   4.9206    3.9970   -0.0359   -0.3199   -1.3486   -2.8122   -3.6392   -3.9723 
 -11.1262   -9.8023   -1.8122   -0.3221   -1.3469   -2.8102   -3.6375   -3.9710 
  -0.1037   -4.4330   -1.6071   -0.3241   -1.3469   -2.8068   -3.6352   -3.9715 
   4.1240    3.6168    0.0251   -0.3200   -1.3440   -2.8042   -3.6340   -3.9703 
 -13.9730  -11.9530   -2.2373   -0.3238   -1.3426   -2.8020   -3.6319   -3.9707 
  -5.9465   -5.8150   -1.3701   -0.3232   -1.3408   -2.7987   -3.6309   -3.9695 
  -1.7710   -1.7845   -0.6369   -0.3227   -1.3392   -2.7962   -3.6292   -3.9694 
  -3.2938   -3.3158   -0.7647   -0.3219   -1.3387   -2.7933   -3.6272   -3.9694 
  -2.6361   -6.1759   -1.4664   -0.3229   -1.3374   -2.7907   -3.6248   -3.9678 
  -2.0779   -2.4847   -0.7492   -0.3234   -1.3354   -2.7889   -3.6236   -3.9679 
 -16.1252  -14.1025   -2.9527   -0.3287   -1.3337   -2.7853   -3.6210   -3.9679 
  -5.7605   -5.7460   -1.5870   -0.3266   -1.3324   -2.7836   -3.6197   -3.9672 
  -0.3755   -0.2873   -0.3603   -0.3232   -1.3312   -2.7813   -3.6181   -3.9670 
 -16.0458  -13.7819   -2.8247   -0.3282   -1.3299   -2.7788   -3.6156   -3.9673 
  -6.6106  -10.4635   -2.8633   -0.3301   -1.3281   -2.7759   -3.6143   -3.9663 
  -0.9027   -1.4878   -0.8219   -0.3253   -1.3258   -2.7735   -3.6136   -3.9656 
 -18.6492  -16.5564   -3.8031   -0.3332   -1.3264   -2.7703   -3.6112   -3.9655 
  -8.9007  -13.5953   -3.8833   -0.3344   -1.3246   -2.7678   -3.6087   -3.9646 
   1.1380    0.6789   -0.5275   -0.3264   -1.3225   -2.7654   -3.6074   -3.9639 
 -16.8686  -14.9268   -3.4457   -0.3329   -1.3217   -2.7631   -3.6054   -3.9646 
  -9.2735  -13.1418   -3.7257   -0.3357   -1.3204   -2.7604   -3.6036   -3.9635 
  -0.0473   -0.6442   -0.9278   -0.3292   -1.3189   -2.7574   -3.6026   -3.9627 
 -14.2133  -12.6148   -2.9582   -0.3341   -1.3173   -2.7549   -3.5999   -3.9628 
  -7.0519   -7.0214   -2.2062   -0.3331   -1.3174   -2.7533   -3.5993   -3.9621 
  -2.8763   -2.8857   -1.0934   -0.3309   -1.3139   -2.7494   -3.5973   -3.9615 
  -0.0623   -0.4048   -0.6833   -0.3312   -1.3137   -2.7471   -3.5954   -3.9607 
  -1.6672   -1.5406   -0.5290   -0.3298   -1.3129   -2.7455   -3.5941   -3.9602 
  -0.1551    0.0503   -0.2607   -0.3290   -1.3112   -2.7427   -3.5921   -3.9594 
  -9.1720   -7.6064   -1.1338   -0.3302   -1.3094   -2.7406   -3.5909   -3.9594 
  -7.9065  -10.8884   -2.3251   -0.3328   -1.3092   -2.7377   -3.5881   -3.9594 
  -2.6903   -2.3838   -0.8178   -0.3308   -1.3066   -2.7350   -3.5868   -3.9587 
  -2.5693   -2.7940   -0.9165   -0.3308   -1.3056   -2.7332   -3.5845   -3.9581 
  -2.4925   -2.4881   -0.7600   -0.3297   -1.3050   -2.7314   -3.5840   -3.9576 
  -0.2392    0.1523   -0.3743   -0.3302   -1.3031   -2.7291   -3.5816   -3.9580 
  -7.2923   -6.3465   -1.3987   -0.3327   -1.3026   -2.7259   -3.5795   -3.9573 
 -11.0046  -12.0567   -2.7347   -0.3355   -1.3016   -2.7238   -3.5782   -3.9571 
  -0.1321   -0.3583   -0.8555   -0.3325   -1.2990   -2.7208   -3.5768   -3.9554 
  -2.1368   -2.2973   -0.8220   -0.3325   -1.2988   -2.7186   -3.5744   -3.9553 
  -1.6984   -1.7758   -0.6580   -0.3306   -1.2976   -2.7166   -3.5735   -3.9552 
  -1.4503   -1.2423   -0.4974   -0.3309   -1.2963   -2.7143   -3.5720   -3.9543 
  -6.9198   -5.4553   -0.9975   -0.3309   -1.2950   -2.7120   -3.5696   -3.9544 
  -5.1795   -4.8650   -1.0722   -0.3313   -1.2938   -2.7090   -3.5679   -3.9536 
  -3.0914   -2.4071   -0.6557   -0.3316   -1.2924   -2.7064   -3.5661   -3.9528 
  -4.8450   -3.9240   -0.8534   -0.3316   -1.2924   -2.7040   -3.5653   -3.9522 
  -4.6611   -4.2627   -1.0696   -0.3333   -1.2912   -2.7025   -3.5638   -3.9520 
  -3.0039   -2.7468   -0.8070   -0.3327   -1.2898   -2.6999   -3.5617   -3.9512 
  -3.3119   -2.8225   -0.6974   -0.3329   -1.2880   -2.6983   -3.5596   -3.9505 
  -2.7457   -2.5841   -0.6845   -0.3327   -1.2873   -2.6955   -3.5580   -3.9504 
  -3.0324   -2.4111   -0.5746   -0.3332   -1.2851   -2.6932   -3.5559   -3.9503 
  -5.1558   -4.1674   -0.7875   -0.3343   -1.2850   -2.6907   -3.5538   -3.9502 
  -9.6132   -8.5372   -1.3694   -0.3357   -1.2845   -2.6881   -3.5535   -3.9490 
  -3.8690   -3.5041   -0.8429   -0.3351   -1.2831   -2.6866   -3.5516   -3.9490 
  -9.4625   -7.0804   -1.3067   -0.3363   -1.2822   -2.6841   -3.5499   -3.9482 
 -14.0954  -11.2930   -2.0740   -0.3395   -1.2816   -2.6816   -3.5478   -3.9473 
  -5.8903   -4.7580   -0.9667   -0.3373   -1.2802   -2.6797   -3.5467   -3.9468 
  -5.6247   -4.9479   -1.0799   -0.3369   -1.2791   -2.6764   -3.5441   -3.9462 
  -4.7104   -4.2585   -1.0072   -0.3382   -1.2782   -2.6745   -3.5429   -3.9462 
  -4.3951   -3.7557   -0.8397   -0.3376   -1.2758   -2.6726   -3.5407   -3.9452 
  -4.5254   -3.9039   -0.8563   -0.3377   -1.2754   -2.6695   -3.5399   -3.9455 
  -8.2222   -6.3713   -1.0901   -0.3384   -1.2744   -2.6682   -3.5379   -3.9448 
  -3.8879   -3.2887   -0.7629   -0.3381   -1.2741   -2.6662   -3.5357   -3.9436 
  -3.0598   -2.6898   -0.6662   -0.3383   -1.2732   -2.6631   -3.5356   -3.9429 
  -3.4438   -3.0205   -0.6795   -0.3388   -1.2721   -2.6618   -3.5328   -3.9420 
  -1.0416   -1.0575   -0.4490   -0.3389   -1.2707   -2.6602   -3.5319   -3.9422 
  -4.5587   -3.4718   -0.7124   -0.3394   -1.2701   -2.6571   -3.5298   -3.9413 
  -6.1503   -4.7053   -0.9026   -0.3402   -1.2689   -2.6551   -3.5279   -3.9409 
  -9.1163   -6.2213   -0.9369   -0.3404   -1.2679   -2.6528   -3.5257   -3.9401 
