Model,DT2055 VW Multi Channel Logger
Name,Multi Channel VW Logger DT2055
Serial Number,03039
Firmware Version,1.20,Software Version,1.41.7
Sampling Status,LOGGING
Sampling Rate,FIXED
Current Interval,8:0:0
Start Time,2016/08/06,10:14:30
Current Time,2018/07/15,16:16:08
Number Of Sensors,10
Number Of Records,2125,USB
Sensor Upload Num / Status Code,2,80000,FFFFFFFF,132098


"TIMESTAMP","RECORD","BATTERY","Therm 1","Therm 2","Therm 3","Therm 4","Therm 5","Therm 6","Therm 7","Therm 8","Therm 9","Therm 10",,,,"Therm 1","Therm 2","Therm 3","Therm 4","Therm 5","Therm 6","Therm 7","Therm 8","Therm 9","Therm 10","LOGGER TEMP","RESET","USB","RSTAR","STATUS"
,,,,,,,,,,,,,,,Unit Type," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Input Units," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Output Units," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Offset," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Cal A =," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Zero B =," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Cal C =," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Temp CF," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Temp Initial," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Linked Channel," "," "," "," "," "," "," "," "," "," "
,,,,,,,,,,,,,,,Sensor,"3K NTC","3K NTC","3K NTC","3K NTC","3K NTC","3K NTC","3K NTC","3K NTC","3K NTC","3K NTC"
"UNITS->",,"Volts","deg C","deg C","deg C","deg C","deg C","deg C","deg C","deg C","deg C","deg C",,,,"Ohms","Ohms","Ohms","Ohms","Ohms","Ohms","Ohms","Ohms","Ohms","Ohms","deg C"
2016/08/15 02:14:30,27,2.90,8.03,7.26,5.73,3.26,1.94,1.15,1.09,0.91,0.82,0.71,,,,6567.330078,6818.044434,7351.703125,8309.379883,8881.221680,9240.198242,9269.905273,9353.706055,9399.583984,9449.393555,6.70,0,0,0,000
2016/08/15 10:14:30,28,2.90,7.87,7.24,5.73,3.27,1.94,1.16,1.09,0.91,0.82,0.71,,,,6619.933105,6827.274414,7351.703125,8304.154297,8878.959961,9239.012695,9269.905273,9353.706055,9399.583984,9448.175781,7.00,0,0,0,000
2016/08/15 18:14:30,29,2.90,8.66,7.21,5.73,3.29,1.95,1.16,1.09,0.91,0.82,0.71,,,,6372.162109,6836.517090,7351.703125,8298.934570,8875.569336,9237.826172,9269.905273,9353.706055,9399.583984,9448.175781,8.70,0,0,0,000
2016/08/16 02:14:30,30,2.90,6.20,7.18,5.73,3.30,1.95,1.16,1.09,0.91,0.81,0.71,,,,7182.818848,6846.615234,7352.613770,8294.760742,8873.309570,9237.826172,9269.905273,9353.706055,9400.794922,9449.393555,3.50,0,0,0,000
2016/08/16 10:14:30,31,2.90,6.74,7.15,5.73,3.31,1.96,1.16,1.09,0.91,0.81,0.71,,,,6994.852051,6857.573242,7352.613770,8288.503906,8868.793945,9235.455078,9269.905273,9353.706055,9400.794922,9449.393555,6.70,0,0,0,000
2016/08/16 18:14:30,32,2.95,8.41,7.11,5.73,3.32,1.97,1.17,1.09,0.91,0.82,0.71,,,,6449.970215,6871.085449,7352.613770,8283.293945,8864.280273,9234.270508,9268.714844,9353.706055,9399.583984,9448.175781,10.20,0,0,0,000
2016/08/17 02:14:30,33,2.90,5.76,7.06,5.72,3.34,1.98,1.17,1.09,0.91,0.81,0.71,,,,7341.702637,6888.015625,7354.433105,8278.089844,8859.769531,9233.085938,9269.905273,9353.706055,9400.794922,9449.393555,2.30,0,0,0,000
2016/08/17 10:14:30,34,2.90,6.68,7.01,5.72,3.35,2.00,1.17,1.09,0.91,0.82,0.71,,,,7016.431152,6901.592773,7355.343262,8272.887695,8854.133789,9230.715820,9268.714844,9353.706055,9399.583984,9448.175781,8.60,0,0,0,000
2016/08/17 18:14:30,35,3.00,10.10,6.97,5.71,3.36,2.01,1.18,1.09,0.92,0.82,0.71,,,,5943.198242,6916.048828,7357.165039,8266.649414,8849.629883,9228.347656,9268.714844,9352.500977,9399.583984,9448.175781,14.00,0,0,0,000
2016/08/18 02:14:30,36,2.90,7.19,6.93,5.70,3.37,2.02,1.18,1.09,0.91,0.82,0.71,,,,6841.563477,6930.538086,7359.897461,8263.533203,8845.126953,9228.347656,9269.905273,9353.706055,9399.583984,9449.393555,5.10,0,0,0,000
2016/08/18 10:14:30,37,2.90,6.97,6.91,5.70,3.38,2.03,1.18,1.09,0.91,0.82,0.71,,,,6915.197754,6937.368164,7362.629883,8258.341797,8841.752930,9227.163086,9269.905273,9353.706055,9399.583984,9448.175781,6.10,0,0,0,000
2016/08/18 18:14:30,38,2.95,8.54,6.89,5.69,3.39,2.04,1.19,1.09,0.91,0.82,0.71,,,,6408.193359,6943.349121,7366.276855,8254.192383,8837.255859,9224.796875,9268.714844,9353.706055,9399.583984,9448.175781,10.00,0,0,0,000
2016/08/19 02:14:30,39,2.90,7.90,6.87,5.68,3.40,2.04,1.19,1.09,0.91,0.82,0.71,,,,6611.000488,6951.048828,7369.924805,8250.043945,8835.007813,9224.796875,9269.905273,9353.706055,9399.583984,9448.175781,7.40,0,0,0,000
2016/08/19 10:14:30,40,2.95,8.63,6.85,5.67,3.41,2.05,1.19,1.09,0.91,0.82,0.71,,,,6380.759277,6956.187012,7371.750488,8245.899414,8831.638672,9222.428711,9268.714844,9353.706055,9399.583984,9448.175781,11.80,0,0,0,000
2016/08/19 18:14:30,41,3.00,10.73,6.84,5.66,3.42,2.06,1.19,1.09,0.91,0.82,0.71,,,,5767.539551,6960.471191,7375.401367,8241.755859,8828.269531,9221.247070,9268.714844,9353.706055,9399.583984,9448.175781,13.80,0,0,0,000
2016/08/20 02:14:30,42,2.90,7.39,6.84,5.65,3.43,2.06,1.19,1.09,0.91,0.81,0.71,,,,6775.425781,6961.328125,7379.055176,8239.684570,8827.146484,9221.247070,9269.905273,9353.706055,9400.794922,9449.393555,4.40,0,0,0,000
2016/08/20 10:14:30,43,2.90,7.50,6.85,5.65,3.44,2.07,1.20,1.09,0.91,0.82,0.71,,,,6741.370117,6957.043457,7380.881836,8235.546875,8823.780273,9220.063477,9268.714844,9353.706055,9399.583984,9448.175781,8.30,0,0,0,000
2016/08/20 18:14:30,44,2.95,9.39,6.86,5.64,3.45,2.07,1.20,1.09,0.91,0.82,0.71,,,,6149.745117,6954.473145,7383.624512,8231.409180,8820.415039,9218.879883,9268.714844,9353.706055,9399.583984,9448.175781,10.80,0,0,0,000
2016/08/21 02:14:30,45,2.90,6.68,6.86,5.63,3.46,2.08,1.20,1.09,0.91,0.81,0.71,,,,7017.296387,6954.473145,7386.368164,8228.307617,8818.171875,9217.698242,9269.905273,9354.910156,9400.794922,9449.393555,3.60,0,0,0,000
2016/08/21 10:14:30,46,2.90,6.73,6.86,5.63,3.47,2.08,1.20,1.09,0.91,0.82,0.71,,,,6999.161621,6952.760742,7387.281738,8225.208984,8815.930664,9216.514648,9268.714844,9353.706055,9399.583984,9448.175781,5.90,0,0,0,000
2016/08/21 18:14:30,47,2.95,8.62,6.86,5.63,3.48,2.09,1.21,1.09,0.91,0.82,0.71,,,,6382.323242,6953.617676,7388.196777,8221.078125,8812.568359,9215.333008,9268.714844,9353.706055,9399.583984,9448.175781,10.30,0,0,0,000
2016/08/22 02:14:30,48,2.90,6.56,6.85,5.62,3.48,2.10,1.21,1.09,0.91,0.81,0.71,,,,7055.457520,6958.757324,7389.111816,8219.012695,8810.329102,9215.333008,9268.714844,9354.910156,9400.794922,9449.393555,4.30,0,0,0,000
2016/08/22 10:14:30,49,2.95,8.21,6.83,5.62,3.49,2.10,1.21,1.09,0.91,0.82,0.71,,,,6510.370117,6963.043457,7389.111816,8214.885742,8806.969727,9212.969727,9268.714844,9353.706055,9399.583984,9448.175781,12.00,0,0,0,000
2016/08/22 18:14:30,50,3.00,9.92,6.81,5.62,3.50,2.11,1.21,1.10,0.91,0.82,0.71,,,,5994.356445,6969.907715,7390.026367,8211.791016,8804.731445,9211.788086,9267.523438,9353.706055,9399.583984,9448.175781,12.40,0,0,0,000
2016/08/23 02:14:30,51,2.90,7.34,6.79,5.62,3.50,2.11,1.21,1.09,0.91,0.81,0.71,,,,6793.775391,6976.779297,7390.941895,8209.729492,8802.493164,9211.788086,9268.714844,9354.910156,9400.794922,9448.175781,5.00,0,0,0,000
2016/08/23 10:14:30,52,2.95,8.31,6.79,5.62,3.51,2.12,1.22,1.10,0.91,0.82,0.71,,,,6480.096680,6976.779297,7390.941895,8206.638672,8799.138672,9210.606445,9267.523438,9353.706055,9399.583984,9448.175781,10.80,0,0,0,000
2016/08/23 18:14:30,53,3.00,11.41,6.79,5.62,3.52,2.13,1.22,1.10,0.91,0.82,0.71,,,,5581.910645,6976.779297,7391.856934,8202.518555,8795.784180,9208.244141,9267.523438,9353.706055,9399.583984,9448.175781,15.90,0,0,0,000
2016/08/24 02:14:30,54,2.90,8.54,6.80,5.61,3.52,2.13,1.22,1.09,0.91,0.81,0.71,,,,6408.193359,6974.201172,7393.688477,8202.518555,8794.666992,9209.425781,9268.714844,9354.910156,9400.794922,9448.175781,6.70,0,0,0,000
2016/08/24 10:14:30,55,2.90,8.76,6.83,5.61,3.53,2.14,1.22,1.10,0.91,0.82,0.71,,,,6339.446289,6964.758301,7393.688477,8199.429688,8792.431641,9207.063477,9267.523438,9353.706055,9399.583984,9448.175781,10.50,0,0,0,000
2016/08/24 18:14:30,56,3.00,10.49,6.86,5.61,3.54,2.14,1.23,1.10,0.91,0.82,0.71,,,,5832.891602,6954.473145,7394.603516,8196.342773,8789.081055,9205.882813,9267.523438,9353.706055,9399.583984,9448.175781,13.10,0,0,0,000
2016/08/25 02:14:30,57,2.90,8.62,6.88,5.61,3.54,2.15,1.23,1.09,0.91,0.81,0.71,,,,6383.887695,6946.770508,7395.519531,8194.285156,8786.847656,9205.882813,9268.714844,9354.910156,9400.794922,9448.175781,7.60,0,0,0,000
2016/08/25 10:14:30,58,2.95,9.52,6.91,5.61,3.55,2.16,1.23,1.10,0.91,0.82,0.71,,,,6112.204590,6937.368164,7393.688477,8191.200684,8783.500000,9203.521484,9267.523438,9353.706055,9399.583984,9448.175781,14.20,0,0,0,000
2016/08/25 18:14:30,59,3.05,12.33,6.93,5.61,3.56,2.16,1.23,1.10,0.91,0.82,0.71,,,,5344.000977,6930.538086,7392.772461,8188.116211,8781.269531,9202.342773,9266.333984,9353.706055,9399.583984,9448.175781,17.40,0,0,0,000
2016/08/26 02:14:30,60,2.95,10.48,6.95,5.62,3.56,2.17,1.23,1.10,0.91,0.82,0.71,,,,5836.463867,6922.864258,7391.856934,8186.062012,8779.037109,9202.342773,9267.523438,9354.910156,9399.583984,9448.175781,11.20,0,0,0,000
2016/08/26 10:14:30,61,2.90,9.32,6.99,5.62,3.57,2.17,1.24,1.10,0.91,0.81,0.71,,,,6172.381348,6908.391602,7390.941895,8184.006836,8776.808594,9201.161133,9267.523438,9354.910156,9400.794922,9448.175781,8.40,0,0,0,000
2016/08/26 18:14:30,62,2.90,8.92,7.05,5.63,3.57,2.18,1.24,1.10,0.91,0.81,0.71,,,,6290.695801,6891.407227,7388.196777,8180.926758,8772.350586,9199.981445,9267.523438,9354.910156,9400.794922,9448.175781,7.30,0,0,0,000
2016/08/27 02:14:30,63,2.90,6.63,7.09,5.64,3.59,2.20,1.25,1.10,0.91,0.81,0.71,,,,7033.747559,6875.314453,7381.796387,8174.769531,8762.329102,9196.443359,9267.523438,9354.910156,9400.794922,9449.393555,4.10,0,0,0,000
2016/08/27 10:14:30,64,2.90,6.97,7.13,5.65,3.59,2.21,1.25,1.10,0.91,0.81,0.71,,,,6917.751465,6862.637207,7378.141113,8172.719238,8760.104492,9195.264648,9267.523438,9354.910156,9400.794922,9448.175781,7.10,0,0,0,000
2016/08/27 18:14:30,65,2.95,9.25,7.14,5.67,3.60,2.21,1.25,1.10,0.91,0.82,0.71,,,,6192.068359,6860.104492,7373.575195,8170.668457,8757.880859,9194.085938,9266.333984,9354.910156,9399.583984,9448.175781,10.10,0,0,0,000
2016/08/28 02:14:30,66,2.90,7.27,7.13,5.68,3.60,2.22,1.25,1.10,0.91,0.81,0.71,,,,6815.529785,6863.480957,7369.012695,8168.618164,8755.656250,9192.906250,9267.523438,9354.910156,9400.794922,9448.175781,4.70,0,0,0,000
2016/08/28 10:14:30,67,2.90,7.21,7.13,5.69,3.61,2.23,1.26,1.10,0.91,0.81,0.71,,,,6835.675781,6864.325684,7364.453613,8165.544434,8750.099609,9191.728516,9266.333984,9354.910156,9400.794922,9448.175781,6.30,0,0,0,000
2016/08/28 18:14:30,68,2.95,8.98,7.12,5.71,3.62,2.24,1.26,1.10,0.91,0.82,0.71,,,,6272.993164,6867.704590,7358.985840,8162.473145,8745.659180,9189.372070,9266.333984,9354.910156,9399.583984,9448.175781,10.40,0,0,0,000
2016/08/29 02:14:30,69,2.90,6.72,7.10,5.71,3.62,2.25,1.26,1.10,0.91,0.81,0.71,,,,7003.474609,6873.622070,7356.254395,8160.424316,8743.438477,9188.194336,9266.333984,9354.910156,9400.794922,9449.393555,3.30,0,0,0,000
2016/08/29 10:14:30,70,2.90,5.83,7.08,5.73,3.63,2.25,1.27,1.10,0.91,0.81,0.71,,,,7316.312988,6879.544922,7352.613770,8157.353516,8741.218750,9187.015625,9266.333984,9354.910156,9400.794922,9449.393555,2.70,0,0,0,000
2016/08/29 18:14:30,71,2.90,6.60,7.06,5.74,3.64,2.26,1.27,1.10,0.91,0.81,0.71,,,,7041.554688,6887.168457,7348.974609,8154.285645,8737.890625,9185.837891,9266.333984,9354.910156,9400.794922,9448.175781,5.20,0,0,0,000
2016/08/30 02:14:30,72,2.90,6.02,7.02,5.74,3.64,2.27,1.27,1.10,0.91,0.81,0.71,,,,7246.093750,6899.893555,7346.246582,8152.240723,8733.457031,9184.661133,9266.333984,9354.910156,9400.794922,9448.175781,3.50,0,0,0,000
2016/08/30 10:14:30,73,2.90,5.92,6.97,5.75,3.65,2.28,1.28,1.10,0.91,0.81,0.71,,,,7282.912109,6915.197754,7344.428223,8149.173828,8730.132813,9182.305664,9265.144531,9354.910156,9400.794922,9448.175781,4.00,0,0,0,000
2016/08/30 18:14:30,74,2.90,6.63,6.92,5.75,3.66,2.29,1.28,1.10,0.91,0.81,0.71,,,,7032.013672,6932.245117,7342.610840,8145.086914,8725.702148,9179.953125,9265.144531,9354.910156,9400.794922,9448.175781,5.40,0,0,0,000
2016/08/31 02:14:30,75,2.90,5.88,6.87,5.76,3.67,2.31,1.29,1.10,0.91,0.82,0.71,,,,7297.334961,6949.336914,7339.885254,8139.981445,8716.850586,9177.600586,9265.144531,9354.910156,9399.583984,9448.175781,3.60,0,0,0,000
2016/08/31 10:14:30,76,2.90,5.47,6.83,5.77,3.69,2.34,1.30,1.10,0.91,0.82,0.71,,,,7445.158691,6963.043457,7335.345703,8131.821289,8702.490234,9170.545898,9263.954102,9354.910156,9399.583984,9448.175781,3.60,0,0,0,000
2016/08/31 18:14:30,77,2.90,6.81,6.78,5.76,3.70,2.35,1.31,1.11,0.91,0.82,0.71,,,,6972.483398,6980.217773,7338.977051,8128.763672,8698.077148,9169.371094,9262.764648,9354.910156,9399.583984,9448.175781,6.30,0,0,0,000
2016/09/01 02:14:30,78,2.90,5.75,6.73,5.75,3.71,2.37,1.31,1.11,0.91,0.82,0.71,,,,7342.610840,6997.437012,7343.519531,8126.726074,8691.461914,9165.847656,9262.764648,9354.910156,9399.583984,9448.175781,3.70,0,0,0,000
2016/09/01 10:14:30,79,2.90,4.75,6.69,5.74,3.72,2.39,1.33,1.11,0.91,0.82,0.71,,,,7716.250977,7012.109375,7346.246582,8122.651367,8681.550781,9159.977539,9261.576172,9354.910156,9399.583984,9448.175781,2.30,0,0,0,000
2016/09/01 18:14:30,80,2.90,5.99,6.65,5.74,3.73,2.41,1.34,1.11,0.91,0.82,0.72,,,,7256.848633,7025.949707,7348.974609,8118.580078,8672.751953,9155.285156,9260.386719,9353.706055,9398.373047,9446.957031,5.00,0,0,0,000
2016/09/02 02:14:30,81,2.90,5.14,6.60,5.72,3.73,2.42,1.34,1.11,0.91,0.82,0.72,,,,7568.064941,7042.422852,7353.523438,8115.528809,8667.257813,9151.766602,9260.386719,9354.910156,9398.373047,9446.957031,2.90,0,0,0,000
2016/09/02 10:14:30,82,2.90,4.74,6.55,5.71,3.74,2.43,1.35,1.11,0.91,0.82,0.72,,,,7718.172363,7058.937500,7357.165039,8112.477539,8662.867188,9149.423828,9260.386719,9353.706055,9398.373047,9446.957031,2.70,0,0,0,000
